freq (Hz),output noise; A / sqrt(Hz) (A / sqrt(Hz))
72.4436E3,400.618E-15
75.8578E3,400.616E-15
79.4328E3,400.613E-15
83.1764E3,400.611E-15
87.0964E3,400.609E-15
91.2011E3,400.607E-15
95.4993E3,400.605E-15
100.000E3,400.603E-15
104.713E3,400.602E-15
109.648E3,400.600E-15
114.815E3,400.599E-15
120.226E3,400.597E-15
125.893E3,400.596E-15
131.826E3,400.595E-15
138.038E3,400.594E-15
144.544E3,400.592E-15
151.356E3,400.591E-15
158.489E3,400.590E-15
165.959E3,400.589E-15
173.780E3,400.589E-15
181.970E3,400.588E-15
190.546E3,400.587E-15
199.526E3,400.586E-15
208.930E3,400.585E-15
218.776E3,400.585E-15
229.087E3,400.584E-15
239.883E3,400.583E-15
251.189E3,400.583E-15
263.027E3,400.582E-15
275.423E3,400.582E-15
288.403E3,400.581E-15
301.995E3,400.581E-15
316.228E3,400.580E-15
331.131E3,400.580E-15
346.737E3,400.579E-15
363.078E3,400.579E-15
380.189E3,400.579E-15
398.107E3,400.578E-15
416.869E3,400.578E-15
436.516E3,400.577E-15
457.088E3,400.577E-15
478.630E3,400.577E-15
501.187E3,400.576E-15
524.807E3,400.576E-15
549.541E3,400.576E-15
575.440E3,400.576E-15
602.560E3,400.575E-15
630.957E3,400.575E-15
660.693E3,400.575E-15
691.831E3,400.575E-15
724.436E3,400.574E-15
758.578E3,400.574E-15
794.328E3,400.574E-15
831.764E3,400.574E-15
870.964E3,400.573E-15
912.011E3,400.573E-15
954.993E3,400.573E-15
1.00000E6,400.573E-15
1.04713E6,400.573E-15
1.09648E6,400.572E-15
1.14815E6,400.572E-15
1.20226E6,400.572E-15
1.25893E6,400.572E-15
1.31826E6,400.571E-15
1.38038E6,400.571E-15
1.44544E6,400.571E-15
1.51356E6,400.570E-15
1.58489E6,400.570E-15
1.65959E6,400.570E-15
1.73780E6,400.569E-15
1.81970E6,400.569E-15
1.90546E6,400.569E-15
1.99526E6,400.568E-15
2.08930E6,400.568E-15
