freq (Hz),output noise; A / sqrt(Hz) (A / sqrt(Hz))
1.73780E9,29.5396E-12
1.77828E9,29.5289E-12
1.81970E9,29.5169E-12
1.86209E9,29.5035E-12
1.90546E9,29.4882E-12
1.94984E9,29.4708E-12
1.99526E9,29.4509E-12
2.04174E9,29.4283E-12
2.08930E9,29.4026E-12
2.13796E9,29.3737E-12
2.18776E9,29.3411E-12
2.23872E9,29.3046E-12
2.29087E9,29.2640E-12
2.34423E9,29.2191E-12
2.39883E9,29.1695E-12
2.45471E9,29.1150E-12
2.51189E9,29.0556E-12
2.57040E9,28.9911E-12
2.63027E9,28.9213E-12
2.69153E9,28.8464E-12
2.75423E9,28.7662E-12
2.81838E9,28.6809E-12
2.88403E9,28.5908E-12
2.95121E9,28.4960E-12
3.01995E9,28.3970E-12
3.09030E9,28.2941E-12
3.16228E9,28.1878E-12
3.23594E9,28.0786E-12
3.31131E9,27.9672E-12
3.38844E9,27.8542E-12
3.46737E9,27.7402E-12
3.54813E9,27.6258E-12
3.63078E9,27.5118E-12
3.71535E9,27.3987E-12
3.80189E9,27.2873E-12
3.89045E9,27.1780E-12
3.98107E9,27.0714E-12
4.07380E9,26.9682E-12
4.16869E9,26.8686E-12
4.26580E9,26.7733E-12
4.36516E9,26.6826E-12
4.46684E9,26.5968E-12
4.57088E9,26.5165E-12
4.67735E9,26.4418E-12
4.78630E9,26.3731E-12
4.89779E9,26.3108E-12
5.01187E9,26.2551E-12
5.12861E9,26.2065E-12
5.24807E9,26.1651E-12
5.37032E9,26.1314E-12
5.49541E9,26.1056E-12
5.62341E9,26.0880E-12
5.75440E9,26.0787E-12
5.88844E9,26.0779E-12
6.02560E9,26.0855E-12
6.16595E9,26.1012E-12
6.30957E9,26.1246E-12
6.45654E9,26.1549E-12
6.60693E9,26.1909E-12
6.76083E9,26.2310E-12
6.91831E9,26.2736E-12
7.07946E9,26.3163E-12
7.24436E9,26.3570E-12
7.41310E9,26.3933E-12
7.58578E9,26.4230E-12
7.76247E9,26.4445E-12
7.94328E9,26.4563E-12
8.12831E9,26.4578E-12
8.31764E9,26.4491E-12
8.51138E9,26.4305E-12
8.70964E9,26.4032E-12
8.91251E9,26.3686E-12
9.12011E9,26.3283E-12
9.33254E9,26.2842E-12
9.54993E9,26.2380E-12
9.77237E9,26.1918E-12
10.0000E9,26.1474E-12
