Inin_diff X,Inin_diff Y
0.1,1.883332533370791e-09
0.1023292992280754,1.861682954184026e-09
0.10471285480509,1.840277713641114e-09
0.1071519305237607,1.819113890626314e-09
0.1096478196143185,1.798188593187912e-09
0.1122018454301963,1.777498958065784e-09
0.1148153621496883,1.757042150218882e-09
0.1174897554939529,1.736815362354234e-09
0.1202264434617413,1.7168158144573e-09
0.1230268770812381,1.697040753323657e-09
0.1258925411794167,1.677487452091789e-09
0.1288249551693134,1.658153209776331e-09
0.1318256738556407,1.63903535080286e-09
0.1348962882591653,1.620131224543976e-09
0.1380384264602884,1.601438204854641e-09
0.1412537544622754,1.582953689610908e-09
0.1445439770745927,1.56467510024677e-09
0.1479108388168207,1.546599881294242e-09
0.1513561248436207,1.528725499922139e-09
0.154881661891248,1.511049445477727e-09
0.1584893192461112,1.493569229027823e-09
0.1621810097358929,1.476282382901172e-09
0.1659586907437559,1.459186460232078e-09
0.1698243652461743,1.442279034505155e-09
0.1737800828749374,1.425557699100798e-09
0.1778279410038921,1.409020066842372e-09
0.1819700858609982,1.392663769545387e-09
0.1862087136662866,1.376486457566471e-09
0.1905460717963245,1.360485799356787e-09
0.1949844599758043,1.344659481015284e-09
0.1995262314968878,1.329005205846083e-09
0.2041737944669527,1.313520693917537e-09
0.2089296130854037,1.298203681624537e-09
0.213796208950223,1.283051921254633e-09
0.218776162394955,1.268063180557808e-09
0.2238721138568337,1.253235242320708e-09
0.229086765276777,1.23856590394597e-09
0.2344228815319919,1.224052977037041e-09
0.2398832919019487,1.209694286989282e-09
0.2454708915685027,1.195487672587844e-09
0.2511886431509577,1.181430985613951e-09
0.2570395782768861,1.167522090459374e-09
0.2630267991895379,1.1537588637505e-09
0.2691534803926912,1.140139193983784e-09
0.2754228703338163,1.126660981171895e-09
0.281838293126445,1.113322136504422e-09
0.2884031503126602,1.100120582021994e-09
0.2951209226666382,1.087054250306383e-09
0.3019951720402012,1.074121084188412e-09
0.3090295432513586,1.061319036474996e-09
0.3162277660168375,1.048646069696609e-09
0.3235936569296278,1.036100155878419e-09
0.3311311214825907,1.023679276335482e-09
0.3388441561392021,1.011381421495847e-09
0.3467368504525312,9.992045907525633e-10
0.354813389233575,9.871467923481501e-10
0.3630780547701009,9.752060432935415e-10
0.371535229097172,9.633803693240795e-10
0.3801893963205606,9.516678048970999e-10
0.38904514499428,9.400663932311905e-10
0.3981071705534966,9.285741863943219e-10
0.4073802778041121,9.171892454410452e-10
0.4168693834703348,9.059096406034978e-10
0.426579518801592,8.947334515406496e-10
0.4365158322401653,8.836587676489382e-10
0.4466835921509624,8.726836884378752e-10
0.4570881896148742,8.618063239760536e-10
0.4677351412871974,8.510247954106005e-10
0.4786300923226375,8.403372355652859e-10
0.4897788193684454,8.297417896209813e-10
0.5011872336272715,8.192366158837378e-10
0.5128613839913641,8.088198866439287e-10
0.5248074602497718,7.984897891322813e-10
0.5370317963702519,7.882445265754791e-10
0.5495408738576236,7.780823193575615e-10
0.5623413251903481,7.680014062893706e-10
0.5754399373371559,7.580000459915661e-10
0.5888436553555879,7.480765183937777e-10
0.6025595860743567,7.382291263538262e-10
0.6165950018614811,7.284561973995454e-10
0.6309573444801921,7.187560855961133e-10
0.6456542290346544,7.091271735400911e-10
0.6606934480075949,6.995678744816228e-10
0.6760829753919806,6.900766345755869e-10
0.6918309709189353,6.806519352602226e-10
0.7079457843841367,6.712922957628108e-10
0.7244359600749888,6.619962757290839e-10
0.7413102413009162,6.527624779724911e-10
0.7585775750291823,6.435895513392203e-10
0.7762471166286903,6.344761936803714e-10
0.7943282347242799,6.254211549257133e-10
0.8128305161640976,6.164232402464746e-10
0.8317637711026693,6.074813132977433e-10
0.8511380382023747,5.985942995256898e-10
0.8709635899560788,5.897611895244722e-10
0.8912509381337437,5.809810424257407e-10
0.9120108393559078,5.72252989300556e-10
0.933254300796989,5.635762365530866e-10
0.9549925860214339,5.549500692812759e-10
0.9772372209558086,5.463738545798628e-10
0.9999999999999978,5.378470447577158e-10
1.023292992280752,5.293691804396323e-10
1.047128548050897,5.2093989352251e-10
1.071519305237604,5.12558909952146e-10
1.096478196143182,5.042260522874338e-10
1.122018454301961,4.959412420169023e-10
1.14815362149688,4.877045015923486e-10
1.174897554939527,4.795159561433078e-10
1.20226443461741,4.713758348375004e-10
1.230268770812378,4.632844718515211e-10
1.258925411794164,4.55242306918972e-10
1.28824955169313,4.472498854227146e-10
1.318256738556403,4.393078580024506e-10
1.34896288259165,4.314169796495131e-10
1.380384264602881,4.235781082659173e-10
1.41253754462275,4.157922026670333e-10
1.445439770745923,4.080603200129366e-10
1.479108388168203,4.003836126577656e-10
1.513561248436204,3.927633244119136e-10
1.548816618912477,3.852007862179826e-10
1.584893192461108,3.776974112472738e-10
1.621810097358925,3.702546894301122e-10
1.659586907437555,3.628741814397039e-10
1.698243652461739,3.555575121563502e-10
1.73780082874937,3.483063636440259e-10
1.778279410038917,3.411224676797534e-10
1.819700858609977,3.340075978798599e-10
1.862087136662861,3.269635614747295e-10
1.905460717963241,3.199921907876774e-10
1.949844599758039,3.130953344781072e-10
1.995262314968873,3.062748486133678e-10
2.041737944669523,2.995325876358811e-10
2.089296130854033,2.92870395294522e-10
2.137962089502225,2.862900956102274e-10
2.187761623949545,2.797934839458161e-10
2.238721138568332,2.733823182493131e-10
2.290867652767766,2.670583105378175e-10
2.344228815319914,2.608231186871396e-10
2.398832919019482,2.546783385872646e-10
2.454708915685022,2.486254967211051e-10
2.511886431509572,2.426660432173467e-10
2.570395782768855,2.368013454233804e-10
