Inin_diff X,Inin_diff Y
0.1,9.31974455378775e-10
0.1023292992280754,9.212643745273935e-10
0.10471285480509,9.106752175538548e-10
0.1071519305237607,9.002055397872853e-10
0.1096478196143185,8.898539110061509e-10
0.1122018454301963,8.796189152027183e-10
0.1148153621496883,8.694991503416545e-10
0.1174897554939529,8.594932281541332e-10
0.1202264434617413,8.495997738808095e-10
0.1230268770812381,8.398174260526751e-10
0.1258925411794167,8.301448362543407e-10
0.1288249551693134,8.205806688919731e-10
0.1318256738556407,8.111236009810807e-10
0.1348962882591653,8.017723218982042e-10
0.1380384264602884,7.925255331568701e-10
0.1412537544622754,7.833819481908528e-10
0.1445439770745927,7.743402921101379e-10
0.1479108388168207,7.653993014790974e-10
0.1513561248436207,7.565577241035105e-10
0.154881661891248,7.478143187819388e-10
0.1584893192461112,7.391678550977367e-10
0.1621810097358929,7.306171131787565e-10
0.1659586907437559,7.221608834944788e-10
0.1698243652461743,7.137979665986208e-10
0.1737800828749374,7.055271729449113e-10
0.1778279410038921,6.973473226277947e-10
0.1819700858609982,6.892572451857169e-10
0.1862087136662866,6.812557793676639e-10
0.1905460717963245,6.733417729179453e-10
0.1949844599758043,6.655140823488581e-10
0.1995262314968878,6.577715727388512e-10
0.2041737944669527,6.501131174952444e-10
0.2089296130854037,6.425375981566175e-10
0.213796208950223,6.350439041675421e-10
0.218776162394955,6.276309326776714e-10
0.2238721138568337,6.202975883247507e-10
0.229086765276777,6.130427830290534e-10
0.2344228815319919,6.05865435792091e-10
0.2398832919019487,5.987644724978941e-10
0.2454708915685027,5.917388257068133e-10
0.2511886431509577,5.847874344725671e-10
0.2570395782768861,5.779092441515464e-10
0.2630267991895379,5.711032062123604e-10
0.2691534803926912,5.64368278061491e-10
0.2754228703338163,5.577034228724594e-10
0.281838293126445,5.511076094147742e-10
0.2884031503126602,5.445798119003405e-10
0.2951209226666382,5.381190098264406e-10
0.3019951720402012,5.317241878396908e-10
0.3090295432513586,5.253943355974074e-10
0.3162277660168375,5.191284476437644e-10
0.3235936569296278,5.129255233089074e-10
0.3311311214825907,5.067845665955774e-10
0.3388441561392021,5.007045861019955e-10
0.3467368504525312,4.946845949599211e-10
0.354813389233575,4.887236107530208e-10
0.3630780547701009,4.828206555102012e-10
0.371535229097172,4.769747556624513e-10
0.3801893963205606,4.711849420593622e-10
0.38904514499428,4.654502499774121e-10
0.3981071705534966,4.597697191790645e-10
0.4073802778041121,4.541423939727463e-10
0.4168693834703348,4.4856732331791e-10
0.426579518801592,4.430435609412007e-10
0.4365158322401653,4.375701654978793e-10
0.4466835921509624,4.32146200762453e-10
0.4570881896148742,4.267707358465449e-10
0.4677351412871974,4.214428454582482e-10
0.4786300923226375,4.161616102023497e-10
0.4897788193684454,4.109261169110838e-10
0.5011872336272715,4.057354590427336e-10
0.5128613839913641,4.005887370921861e-10
0.5248074602497718,3.954850590679898e-10
0.5370317963702519,3.904235410275459e-10
0.5495408738576236,3.854033076358161e-10
0.5623413251903481,3.804234928069684e-10
0.5754399373371559,3.754832403858741e-10
0.5888436553555879,3.705817048901436e-10
0.6025595860743567,3.657180523086927e-10
0.6165950018614811,3.608914609738843e-10
0.6309573444801921,3.561011224696263e-10
0.6456542290346544,3.513462426369311e-10
0.6606934480075949,3.466260426027338e-10
0.6760829753919806,3.419397599148681e-10
0.6918309709189353,3.372866496984856e-10
0.7079457843841367,3.32665985906829e-10
0.7244359600749888,3.280770626179746e-10
0.7413102413009162,3.235191953895046e-10
0.7585775750291823,3.189917226812749e-10
0.7762471166286903,3.144940073175702e-10
0.7943282347242799,3.10025438010246e-10
0.8128305161640976,3.055854309138921e-10
0.8317637711026693,3.011734312363002e-10
0.8511380382023747,2.967889148640301e-10
0.8709635899560788,2.92431390025423e-10
0.8912509381337437,2.881003989624319e-10
0.9120108393559078,2.837955196058874e-10
0.933254300796989,2.795163672584812e-10
0.9549925860214339,2.752625962473812e-10
0.9772372209558086,2.710339015590865e-10
0.9999999999999978,2.668300204235053e-10
1.023292992280752,2.626507338456623e-10
1.047128548050897,2.584958680675015e-10
1.071519305237604,2.543652959356867e-10
1.096478196143182,2.502589381655008e-10
1.122018454301961,2.46176764485845e-10
1.14815362149688,2.421187946455871e-10
1.174897554939527,2.380850992479988e-10
1.20226443461741,2.340758004365442e-10
1.230268770812378,2.300910723602174e-10
1.258925411794164,2.261311414560898e-10
1.28824955169313,2.221962864796058e-10
1.318256738556403,2.18286838324523e-10
1.34896288259165,2.144031795657261e-10
1.380384264602881,2.105457437510698e-10
1.41253754462275,2.067150144143636e-10
1.445439770745923,2.029115238066862e-10
1.479108388168203,1.991358513414481e-10
1.513561248436204,1.953886217451157e-10
1.548816618912477,1.91670502925217e-10
1.584893192461108,1.879822035487802e-10
1.621810097358925,1.843244703347908e-10
1.659586907437555,1.80698085091635e-10
1.698243652461739,1.771038614803e-10
1.73780082874937,1.735426415489614e-10
1.778279410038917,1.700152920400158e-10
1.819700858609977,1.665227004969506e-10
1.862087136662861,1.630657712024396e-10
1.905460717963241,1.596454209606821e-10
1.949844599758039,1.562625747678821e-10
1.995262314968873,1.529181613957588e-10
2.041737944669523,1.496131089203005e-10
2.089296130854033,1.46348340229856e-10
2.137962089502225,1.431247685516403e-10
2.187761623949545,1.399432930219342e-10
2.238721138568332,1.368047943443255e-10
2.290867652767766,1.337101305590475e-10
2.344228815319914,1.306601329619212e-10
2.398832919019482,1.276556022017261e-10
2.454708915685022,1.246973045788109e-10
2.511886431509572,1.217859685767916e-10
2.570395782768855,1.189222816459194e-10
